delivery_id,shipment_id,delivery_date,delivery_status
1,1,2025-06-05,Delayed
2,2,2025-11-21,Delayed
3,3,2025-09-08,Delayed
4,4,2025-10-08,Delivered
5,5,2025-09-27,Delivered
6,6,2025-05-20,Delayed
7,7,2025-08-01,Delayed
8,8,2025-07-01,Delayed
9,9,2025-01-15,Delayed
10,10,2025-02-18,Delivered
11,11,2025-03-24,Delivered
12,12,2025-09-04,Delayed
13,13,2025-10-01,Delivered
14,14,2025-07-25,Delivered
15,15,2025-08-22,Delayed
16,16,2025-09-23,Delayed
17,17,2025-01-19,Delivered
18,18,2025-11-12,Delayed
19,19,2025-11-16,Delayed
20,20,2025-08-11,Delayed
21,21,2025-08-16,Delayed
22,22,2025-05-06,Delayed
23,23,2025-08-22,Delivered
24,24,2025-03-12,Delayed
25,25,2025-11-18,Delivered
26,26,2025-04-05,Delayed
27,27,2025-07-17,Delayed
28,28,2026-01-01,Delivered
29,29,2025-09-20,Delayed
30,30,2025-01-24,Delivered
31,31,2025-07-05,Delayed
32,32,2025-04-23,Delivered
33,33,2025-05-08,Delayed
34,34,2025-07-17,Delivered
35,35,2025-06-14,Delivered
36,36,2025-08-15,Delivered
37,37,2025-08-23,Delivered
38,38,2025-04-08,Delayed
39,39,2025-11-02,Delivered
40,40,2025-01-16,Delivered
41,41,2025-08-01,Delivered
42,42,2025-01-22,Delivered
43,43,2025-07-12,Delayed
44,44,2025-07-31,Delivered
45,45,2025-10-27,Delayed
46,46,2025-10-17,Delayed
47,47,2025-11-13,Delivered
48,48,2025-08-31,Delayed
49,49,2025-04-12,Delayed
50,50,2025-11-12,Delayed
51,51,2025-10-16,Delayed
52,52,2025-12-22,Delayed
53,53,2025-11-30,Delayed
54,54,2025-08-01,Delivered
55,55,2025-06-10,Delayed
56,56,2025-03-02,Delayed
57,57,2025-09-12,Delayed
58,58,2025-01-17,Delayed
59,59,2025-03-31,Delayed
60,60,2025-03-17,Delayed
61,61,2025-06-10,Delayed
62,62,2025-01-09,Delivered
63,63,2025-07-01,Delivered
64,64,2025-10-08,Delivered
65,65,2025-08-25,Delayed
66,66,2025-11-09,Delivered
67,67,2025-11-20,Delivered
68,68,2025-04-16,Delayed
69,69,2025-02-22,Delayed
70,70,2025-10-22,Delayed
71,71,2025-04-07,Delivered
72,72,2025-03-20,Delivered
73,73,2025-02-10,Delivered
74,74,2025-06-03,Delivered
75,75,2025-01-19,Delayed
76,76,2025-05-31,Delivered
77,77,2025-09-06,Delivered
78,78,2025-01-25,Delayed
79,79,2025-04-29,Delivered
80,80,2025-04-21,Delayed
81,81,2025-05-27,Delivered
82,82,2025-05-15,Delivered
83,83,2025-08-20,Delayed
84,84,2025-08-17,Delayed
85,85,2025-12-18,Delivered
86,86,2025-04-02,Delayed
87,87,2025-03-15,Delayed
88,88,2025-01-19,Delivered
89,89,2025-02-18,Delayed
90,90,2025-09-01,Delayed
91,91,2025-11-20,Delivered
92,92,2025-04-27,Delivered
93,93,2025-03-20,Delivered
94,94,2025-10-17,Delivered
95,95,2025-06-03,Delivered
96,96,2025-09-08,Delivered
97,97,2025-08-28,Delivered
98,98,2025-09-10,Delivered
99,99,2025-06-05,Delivered
100,100,2025-02-06,Delivered
101,101,2025-07-03,Delivered
102,102,2025-11-26,Delivered
103,103,2025-05-23,Delivered
104,104,2025-02-21,Delayed
105,105,2025-07-08,Delayed
106,106,2025-06-20,Delivered
107,107,2025-10-05,Delayed
108,108,2025-03-14,Delivered
109,109,2025-04-15,Delivered
110,110,2025-10-03,Delayed
111,111,2025-08-29,Delivered
112,112,2025-12-12,Delivered
113,113,2025-09-03,Delayed
114,114,2025-11-07,Delivered
115,115,2025-11-17,Delivered
116,116,2025-10-06,Delivered
117,117,2025-09-07,Delayed
118,118,2025-03-07,Delivered
119,119,2025-03-03,Delivered
120,120,2025-12-07,Delivered
121,121,2025-08-19,Delayed
122,122,2025-12-22,Delayed
123,123,2025-04-22,Delayed
124,124,2025-06-17,Delayed
125,125,2025-04-18,Delivered
126,126,2025-06-09,Delivered
127,127,2025-01-15,Delivered
128,128,2025-08-26,Delayed
129,129,2025-11-24,Delivered
130,130,2025-10-27,Delivered
131,131,2025-06-07,Delivered
132,132,2025-08-29,Delivered
133,133,2025-01-17,Delivered
134,134,2025-11-09,Delayed
135,135,2025-01-30,Delivered
136,136,2025-05-11,Delivered
137,137,2025-09-06,Delayed
138,138,2025-06-30,Delivered
139,139,2025-04-23,Delayed
140,140,2025-02-25,Delayed
141,141,2025-04-24,Delivered
142,142,2025-11-21,Delivered
143,143,2025-06-26,Delayed
144,144,2025-05-22,Delayed
145,145,2025-12-06,Delivered
146,146,2025-09-29,Delivered
147,147,2025-03-17,Delayed
148,148,2025-11-23,Delivered
149,149,2025-02-26,Delivered
150,150,2025-01-21,Delayed
151,151,2025-02-27,Delivered
152,152,2025-06-17,Delayed
153,153,2026-01-04,Delivered
154,154,2025-04-07,Delivered
155,155,2025-07-26,Delivered
156,156,2025-03-28,Delayed
157,157,2025-02-10,Delayed
158,158,2026-01-06,Delivered
159,159,2025-03-18,Delivered
160,160,2025-07-23,Delivered
161,161,2025-10-30,Delayed
162,162,2025-04-11,Delayed
163,163,2025-08-26,Delivered
164,164,2025-08-04,Delayed
165,165,2025-05-17,Delivered
166,166,2025-05-26,Delivered
167,167,2025-12-30,Delivered
168,168,2025-11-19,Delivered
169,169,2025-10-23,Delivered
170,170,2025-09-08,Delivered
171,171,2025-01-17,Delivered
172,172,2025-11-06,Delayed
173,173,2025-09-19,Delayed
174,174,2025-07-29,Delayed
175,175,2025-10-08,Delayed
176,176,2025-12-20,Delayed
177,177,2025-02-24,Delayed
178,178,2025-05-25,Delayed
179,179,2025-04-29,Delayed
180,180,2025-05-28,Delayed
181,181,2025-11-30,Delayed
182,182,2025-06-11,Delivered
183,183,2025-06-09,Delayed
184,184,2025-06-16,Delayed
185,185,2025-07-22,Delayed
186,186,2025-02-07,Delayed
187,187,2025-12-06,Delivered
188,188,2025-01-22,Delayed
189,189,2025-05-03,Delayed
190,190,2025-09-06,Delayed
191,191,2025-03-04,Delivered
192,192,2025-09-28,Delayed
193,193,2026-01-08,Delayed
194,194,2025-06-11,Delivered
195,195,2025-06-30,Delivered
196,196,2025-07-30,Delivered
197,197,2025-03-04,Delayed
198,198,2025-07-27,Delivered
199,199,2025-12-31,Delivered
200,200,2025-01-21,Delayed
201,201,2025-12-24,Delivered
202,202,2025-12-14,Delivered
203,203,2025-03-26,Delayed
204,204,2025-06-18,Delayed
205,205,2025-01-13,Delayed
206,206,2025-08-20,Delivered
207,207,2025-04-03,Delivered
208,208,2025-04-20,Delayed
209,209,2025-12-31,Delayed
210,210,2025-10-21,Delayed
211,211,2025-10-24,Delivered
212,212,2025-11-27,Delivered
213,213,2025-12-09,Delivered
214,214,2025-01-18,Delivered
215,215,2025-05-12,Delayed
216,216,2025-08-24,Delivered
217,217,2025-12-27,Delayed
218,218,2025-10-09,Delayed
219,219,2025-05-01,Delayed
220,220,2025-12-14,Delayed
221,221,2025-06-21,Delivered
222,222,2025-03-03,Delivered
223,223,2025-01-29,Delivered
224,224,2025-04-16,Delivered
225,225,2025-06-26,Delivered
226,226,2025-06-24,Delayed
227,227,2025-05-19,Delivered
228,228,2025-12-07,Delivered
229,229,2025-05-17,Delayed
230,230,2025-03-20,Delayed
231,231,2025-07-04,Delivered
232,232,2025-08-16,Delayed
233,233,2025-02-06,Delivered
234,234,2025-09-20,Delivered
235,235,2025-01-31,Delivered
236,236,2025-04-29,Delivered
237,237,2025-05-16,Delivered
238,238,2025-10-19,Delayed
239,239,2025-09-25,Delayed
240,240,2025-10-21,Delayed
241,241,2025-06-25,Delivered
242,242,2025-09-16,Delivered
243,243,2025-08-16,Delivered
244,244,2025-04-24,Delivered
245,245,2025-08-22,Delayed
246,246,2025-11-30,Delayed
247,247,2025-12-17,Delivered
248,248,2025-10-21,Delayed
249,249,2025-03-30,Delayed
250,250,2025-05-18,Delayed
251,251,2025-02-25,Delayed
252,252,2025-08-24,Delayed
253,253,2026-01-07,Delayed
254,254,2025-03-19,Delivered
255,255,2025-02-09,Delivered
256,256,2025-09-02,Delayed
257,257,2025-10-21,Delayed
258,258,2025-01-16,Delivered
259,259,2025-03-21,Delivered
260,260,2025-08-20,Delayed
261,261,2025-06-05,Delivered
262,262,2025-09-08,Delivered
263,263,2025-01-18,Delayed
264,264,2025-11-06,Delayed
265,265,2025-11-18,Delayed
266,266,2025-04-17,Delayed
267,267,2025-10-25,Delivered
268,268,2025-06-10,Delayed
269,269,2025-02-16,Delivered
270,270,2025-04-18,Delivered
271,271,2025-03-15,Delivered
272,272,2025-03-21,Delayed
273,273,2025-07-22,Delivered
274,274,2025-07-06,Delivered
275,275,2025-03-29,Delivered
276,276,2025-03-08,Delayed
