order_id,customer_id,product_id,supplier_id,warehouse_id,quantity,order_date
1,3689,261,35,15,10,2025-05-28
2,2794,29,47,2,9,2025-11-17
3,3000,6,2,17,9,2025-08-30
4,4953,128,8,15,7,2025-09-29
5,2568,276,32,12,7,2025-09-18
6,1260,32,42,12,4,2025-05-16
7,719,498,96,15,2,2025-07-27
8,1513,295,30,1,7,2025-06-23
9,3405,154,74,19,6,2025-01-07
10,1287,465,80,6,3,2025-02-08
11,486,235,100,16,3,2025-03-20
12,166,143,15,20,2,2025-08-30
13,2630,70,18,8,2,2025-09-25
14,4724,105,96,5,4,2025-07-19
15,1901,297,57,9,2,2025-08-16
16,751,167,31,15,10,2025-09-14
17,1162,330,98,18,7,2025-01-11
18,4578,486,4,6,3,2025-11-06
19,414,8,35,2,6,2025-11-06
20,3645,391,37,13,10,2025-08-01
21,4255,236,32,10,3,2025-08-10
22,1941,243,8,10,3,2025-04-27
23,1661,57,96,5,6,2025-08-14
24,504,258,83,14,3,2025-03-08
25,4254,130,49,2,7,2025-11-11
26,4690,146,86,2,10,2025-03-31
27,1241,295,58,18,8,2025-07-09
28,605,402,56,12,8,2025-12-26
29,2882,51,17,16,3,2025-09-16
30,1785,377,4,1,5,2025-01-21
31,1610,319,19,4,3,2025-07-02
32,3517,256,67,12,8,2025-04-16
33,2901,201,8,20,2,2025-05-03
34,4219,114,79,16,5,2025-07-10
35,2998,88,86,9,3,2025-06-09
36,1773,21,20,16,3,2025-08-09
37,1250,481,70,7,2,2025-08-13
38,4239,234,65,14,7,2025-04-01
39,1468,295,87,3,6,2025-10-25
40,626,199,81,19,6,2025-01-13
41,3963,229,90,14,1,2025-07-27
42,83,402,9,1,4,2025-01-13
43,3480,47,7,19,10,2025-07-02
44,3424,256,30,6,10,2025-07-24
45,3814,82,10,1,4,2025-10-18
46,1069,162,14,10,2,2025-10-14
47,3997,241,1,15,10,2025-11-07
48,3649,189,7,9,1,2025-08-25
49,1175,95,34,9,10,2025-04-04
50,3276,351,51,11,1,2025-11-05
51,3586,274,79,20,3,2025-10-12
52,3144,397,100,1,10,2025-12-17
53,1878,180,71,2,8,2025-11-25
54,1280,217,33,9,10,2025-07-26
55,4189,322,12,13,3,2025-06-01
56,4811,281,47,12,4,2025-02-24
57,2829,447,98,14,4,2025-09-07
58,4025,47,16,17,1,2025-01-09
59,4775,221,4,19,7,2025-03-24
60,119,355,17,14,10,2025-03-10
61,1598,101,30,4,3,2025-06-03
62,579,170,84,18,10,2025-01-03
63,3583,431,90,11,5,2025-06-23
64,2495,274,93,18,10,2025-10-01
65,1911,324,31,14,1,2025-08-18
66,2974,376,27,15,6,2025-10-31
67,2722,117,57,8,6,2025-11-14
68,1362,434,82,5,8,2025-04-12
69,1165,321,30,8,10,2025-02-12
70,4957,126,88,13,6,2025-10-16
71,3785,454,83,7,10,2025-04-01
72,4506,285,74,6,2,2025-03-15
73,1488,259,22,9,6,2025-02-03
74,3493,90,82,14,6,2025-05-27
75,3939,405,79,20,4,2025-01-14
76,4222,153,15,16,8,2025-05-23
