shipment_id,order_id,shipped_date,shipment_status
1,1,2025-05-31,In Transit
2,2,2025-11-19,Shipped
3,3,2025-09-01,Delivered
4,4,2025-10-02,Shipped
5,5,2025-09-21,Shipped
6,6,2025-05-18,Delivered
7,7,2025-07-30,In Transit
8,8,2025-06-26,Delivered
9,9,2025-01-10,In Transit
10,10,2025-02-11,Delivered
11,11,2025-03-22,Delivered
12,12,2025-08-31,Shipped
13,13,2025-09-27,In Transit
14,14,2025-07-22,In Transit
15,15,2025-08-18,Delivered
16,16,2025-09-16,Shipped
17,17,2025-01-13,Shipped
18,18,2025-11-08,Delivered
19,19,2025-11-09,In Transit
20,20,2025-08-04,Delivered
21,21,2025-08-11,Shipped
22,22,2025-04-30,Delivered
23,23,2025-08-16,Delivered
24,24,2025-03-10,In Transit
25,25,2025-11-14,In Transit
26,26,2025-04-03,Delivered
27,27,2025-07-10,Shipped
28,28,2025-12-28,Delivered
29,29,2025-09-17,Delivered
30,30,2025-01-22,In Transit
31,31,2025-07-03,Delivered
32,32,2025-04-17,In Transit
33,33,2025-05-06,Shipped
34,34,2025-07-12,Delivered
35,35,2025-06-10,In Transit
36,36,2025-08-12,Shipped
37,37,2025-08-16,Delivered
38,38,2025-04-03,In Transit
39,39,2025-10-28,In Transit
40,40,2025-01-14,Shipped
41,41,2025-07-30,In Transit
42,42,2025-01-15,Delivered
43,43,2025-07-05,Shipped
44,44,2025-07-27,Shipped
45,45,2025-10-21,In Transit
46,46,2025-10-15,Shipped
47,47,2025-11-08,Delivered
48,48,2025-08-26,In Transit
49,49,2025-04-07,Shipped
50,50,2025-11-06,Shipped
51,51,2025-10-13,Shipped
52,52,2025-12-19,Shipped
53,53,2025-11-28,Delivered
54,54,2025-07-29,In Transit
55,55,2025-06-03,In Transit
56,56,2025-02-25,In Transit
57,57,2025-09-08,Delivered
58,58,2025-01-11,In Transit
59,59,2025-03-27,Delivered
60,60,2025-03-11,Shipped
61,61,2025-06-04,In Transit
62,62,2025-01-06,In Transit
63,63,2025-06-26,Shipped
64,64,2025-10-04,Shipped
65,65,2025-08-19,Delivered
66,66,2025-11-03,Shipped
67,67,2025-11-15,Shipped
68,68,2025-04-13,Delivered
69,69,2025-02-15,In Transit
70,70,2025-10-18,In Transit
71,71,2025-04-02,In Transit
72,72,2025-03-18,In Transit
73,73,2025-02-06,In Transit
74,74,2025-05-29,Delivered
75,75,2025-01-15,In Transit
76,76,2025-05-25,In Transit
77,77,2025-09-04,In Transit
78,78,2025-01-20,In Transit
79,79,2025-04-27,In Transit
80,80,2025-04-19,In Transit
81,81,2025-05-24,Delivered
82,82,2025-05-09,In Transit
83,83,2025-08-14,Shipped
84,84,2025-08-14,In Transit
85,85,2025-12-13,In Transit
86,86,2025-03-27,In Transit
87,87,2025-03-12,Delivered
88,88,2025-01-13,Delivered
89,89,2025-02-15,Delivered
90,90,2025-08-27,In Transit
91,91,2025-11-17,Shipped
92,92,2025-04-22,Shipped
93,93,2025-03-14,In Transit
94,94,2025-10-12,Delivered
95,95,2025-06-01,In Transit
96,96,2025-09-03,Shipped
97,97,2025-08-26,Delivered
98,98,2025-09-06,Delivered
99,99,2025-06-02,In Transit
100,100,2025-01-31,In Transit
101,101,2025-06-30,In Transit
102,102,2025-11-22,Shipped
103,103,2025-05-16,Delivered
104,104,2025-02-14,Shipped
105,105,2025-07-01,In Transit
106,106,2025-06-15,Shipped
107,107,2025-10-03,Shipped
108,108,2025-03-12,Shipped
109,109,2025-04-10,In Transit
110,110,2025-10-01,Shipped
111,111,2025-08-22,Shipped
112,112,2025-12-09,In Transit
113,113,2025-09-01,Delivered
114,114,2025-10-31,In Transit
115,115,2025-11-12,Delivered
116,116,2025-10-02,Shipped
117,117,2025-09-01,Delivered
118,118,2025-03-04,Shipped
119,119,2025-02-28,Shipped
120,120,2025-11-30,In Transit
121,121,2025-08-12,Delivered
122,122,2025-12-20,Shipped
123,123,2025-04-15,In Transit
124,124,2025-06-13,Delivered
125,125,2025-04-15,Shipped
126,126,2025-06-07,Delivered
127,127,2025-01-10,Shipped
128,128,2025-08-23,Delivered
129,129,2025-11-21,In Transit
130,130,2025-10-21,Delivered
131,131,2025-06-03,In Transit
132,132,2025-08-25,In Transit
133,133,2025-01-15,Shipped
134,134,2025-11-05,In Transit
135,135,2025-01-26,In Transit
136,136,2025-05-06,In Transit
137,137,2025-08-30,In Transit
138,138,2025-06-24,Delivered
139,139,2025-04-17,Delivered
140,140,2025-02-19,In Transit
141,141,2025-04-21,Delivered
142,142,2025-11-19,In Transit
143,143,2025-06-23,In Transit
144,144,2025-05-18,Shipped
145,145,2025-12-02,Delivered
146,146,2025-09-26,Delivered
147,147,2025-03-14,Shipped
148,148,2025-11-20,Delivered
149,149,2025-02-24,In Transit
